[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.641227	0.099833	0.011708	-0.010417	3.256765	0.256838	0.214068	0.226755	0.202471	0.217088	0.203096	0.210106	0.194000	0.210393	0.208794	0.208041	0.201778	0.201040	0.194386	0.203959	0.203900	0.196465	0.226993	0.301232	0.339109	0.080102	0.181792	0.029462
0.655979	0.099750	0.011833	-0.010333	3.257447	0.256855	0.214526	0.226887	0.202558	0.217101	0.203105	0.210111	0.194009	0.210394	0.208801	0.208046	0.201779	0.201045	0.194388	0.203958	0.203905	0.196461	0.226988	0.301235	0.339081	0.080100	0.181787	0.029459
0.670577	0.099792	0.011667	-0.010667	3.259540	0.257088	0.214769	0.227099	0.202645	0.217116	0.203124	0.210117	0.194018	0.210395	0.208807	0.208046	0.201779	0.201052	0.194390	0.203959	0.203909	0.196463	0.227001	0.301263	0.339093	0.080097	0.181782	0.029458
0.684813	0.099792	0.011750	-0.010417	3.260754	0.257584	0.214998	0.227318	0.202720	0.217149	0.203136	0.210123	0.194024	0.210399	0.208812	0.208046	0.201782	0.201060	0.194395	0.203960	0.203911	0.196466	0.227029	0.301291	0.339074	0.080095	0.181775	0.029460
0.699781	0.099833	0.011708	-0.010333	3.261134	0.257621	0.215231	0.227512	0.202800	0.217199	0.203149	0.210129	0.194023	0.210409	0.208824	0.208048	0.201787	0.201069	0.194400	0.203961	0.203914	0.196469	0.227047	0.301293	0.339052	0.080094	0.181767	0.029465
0.714233	0.099875	0.011875	-0.010417	3.261104	0.257151	0.215396	0.227627	0.202835	0.217185	0.203146	0.210122	0.194020	0.210409	0.208829	0.208047	0.201786	0.201066	0.194398	0.203959	0.203913	0.196461	0.227037	0.301259	0.339028	0.080095	0.181761	0.029473
0.728638	0.099708	0.011750	-0.010708	3.260914	0.256753	0.215445	0.227690	0.202892	0.217159	0.203140	0.210112	0.194016	0.210405	0.208830	0.208044	0.201784	0.201060	0.194394	0.203957	0.203910	0.196454	0.227030	0.301221	0.339047	0.080095	0.181756	0.029482
0.743369	0.099958	0.011708	-0.010583	3.260313	0.256723	0.215303	0.227649	0.202942	0.217146	0.203129	0.210098	0.194014	0.210406	0.208827	0.208043	0.201781	0.201056	0.194392	0.203954	0.203905	0.196452	0.227024	0.301204	0.339076	0.080094	0.181754	0.029491
0.757815	0.099917	0.011708	-0.010583	3.259677	0.256723	0.214930	0.227588	0.202909	0.217143	0.203118	0.210081	0.194010	0.210405	0.208822	0.208041	0.201778	0.201052	0.194391	0.203952	0.203902	0.196457	0.227022	0.301197	0.339107	0.080093	0.181755	0.029500
0.772433	0.099833	0.011708	-0.010750	3.259534	0.256599	0.214579	0.227578	0.202852	0.217143	0.203115	0.210065	0.194005	0.210403	0.208814	0.208036	0.201776	0.201049	0.194389	0.203950	0.203902	0.196466	0.227024	0.301196	0.339148	0.080088	0.181756	0.029508
0.786933	0.099792	0.011750	-0.010333	3.260849	0.256900	0.214566	0.227721	0.202929	0.217159	0.203120	0.210070	0.194004	0.210399	0.208809	0.208034	0.201778	0.201052	0.194390	0.203952	0.203916	0.196491	0.227050	0.301265	0.339234	0.080083	0.181756	0.029517
0.801450	0.099750	0.011833	-0.010458	3.262511	0.257627	0.214927	0.227831	0.203109	0.217194	0.203130	0.210084	0.194004	0.210400	0.208807	0.208035	0.201780	0.201059	0.194392	0.203955	0.203927	0.196507	0.227072	0.301340	0.339317	0.080078	0.181754	0.029528
0.816248	0.099833	0.011833	-0.010417	3.262764	0.258179	0.215118	0.227779	0.203136	0.217235	0.203133	0.210095	0.194005	0.210395	0.208805	0.208033	0.201779	0.201060	0.194393	0.203955	0.203927	0.196496	0.227080	0.301346	0.339308	0.080074	0.181749	0.029541
0.830569	0.099792	0.011708	-0.010500	3.262546	0.257952	0.215068	0.227720	0.203103	0.217282	0.203140	0.210100	0.194010	0.210393	0.208804	0.208030	0.201780	0.201062	0.194395	0.203955	0.203926	0.196486	0.227079	0.301327	0.339262	0.080072	0.181744	0.029553
0.845219	0.099750	0.011833	-0.010417	3.261907	0.257516	0.214836	0.227626	0.203093	0.217324	0.203152	0.210111	0.194014	0.210392	0.208807	0.208030	0.201782	0.201065	0.194395	0.203955	0.203927	0.196479	0.227071	0.301288	0.339196	0.080069	0.181741	0.029571
0.859881	0.099750	0.011750	-0.010417	3.260840	0.256979	0.214566	0.227432	0.203089	0.217325	0.203162	0.210111	0.194013	0.210391	0.208811	0.208030	0.201784	0.201068	0.194393	0.203952	0.203928	0.196474	0.227059	0.301238	0.339120	0.080067	0.181739	0.029607
0.874096	0.099833	0.011750	-0.010500	3.259639	0.256570	0.214335	0.227221	0.203055	0.217277	0.203163	0.210101	0.194008	0.210387	0.208810	0.208032	0.201782	0.201066	0.194390	0.203950	0.203929	0.196469	0.227052	0.301210	0.339060	0.080066	0.181738	0.029649
0.889037	0.099750	0.011708	-0.010500	3.258795	0.256384	0.214276	0.227126	0.203017	0.217218	0.203158	0.210092	0.194005	0.210384	0.208809	0.208035	0.201780	0.201066	0.194387	0.203950	0.203931	0.196467	0.227054	0.301214	0.339044	0.080066	0.181737	0.029693
0.903465	0.099917	0.011708	-0.010500	3.258473	0.256451	0.214257	0.227201	0.202966	0.217159	0.203151	0.210086	0.194002	0.210382	0.208809	0.208035	0.201779	0.201064	0.194384	0.203949	0.203930	0.196467	0.227061	0.301202	0.339136	0.080064	0.181737	0.029730
0.917900	0.099833	0.011792	-0.010500	3.257950	0.256293	0.214085	0.227209	0.202883	0.217098	0.203142	0.210077	0.194001	0.210381	0.208807	0.208029	0.201779	0.201062	0.194380	0.203947	0.203924	0.196463	0.227060	0.301169	0.339247	0.080063	0.181736	0.029758
0.932637	0.099792	0.011667	-0.010417	3.256937	0.255982	0.213819	0.227136	0.202788	0.217054	0.203136	0.210067	0.193997	0.210375	0.208801	0.208025	0.201779	0.201060	0.194377	0.203946	0.203917	0.196459	0.227059	0.301148	0.339238	0.080061	0.181734	0.029782
0.947090	0.099917	0.011792	-0.010333	3.256890	0.255752	0.213767	0.227074	0.202782	0.217057	0.203148	0.210065	0.193999	0.210371	0.208798	0.208023	0.201782	0.201060	0.194377	0.203948	0.203914	0.196465	0.227067	0.301152	0.339203	0.080060	0.181734	0.029799
0.961742	0.099875	0.011833	-0.010333	3.258090	0.255692	0.213859	0.227131	0.202853	0.217094	0.203162	0.210074	0.194004	0.210371	0.208799	0.208024	0.201784	0.201063	0.194380	0.203952	0.203915	0.196472	0.227079	0.301173	0.339190	0.080059	0.181734	0.029811
0.976213	0.099833	0.011917	-0.010333	3.258805	0.255630	0.213808	0.227123	0.202915	0.217067	0.203171	0.210084	0.194007	0.210373	0.208804	0.208023	0.201784	0.201065	0.194382	0.203956	0.203914	0.196473	0.227086	0.301176	0.339180	0.080059	0.181734	0.029818
0.990679	0.099958	0.011833	-0.010417	3.258072	0.255628	0.213737	0.227128	0.202964	0.217056	0.203175	0.210095	0.194009	0.210375	0.208806	0.208021	0.201780	0.201065	0.194381	0.203958	0.203915	0.196473	0.227083	0.301205	0.339195	0.080059	0.181734	0.029820
1.005498	0.099833	0.011917	-0.010250	3.257418	0.255698	0.213512	0.227154	0.202917	0.217062	0.203171	0.210104	0.194008	0.210374	0.208802	0.208018	0.201777	0.201065	0.194381	0.203958	0.203914	0.196467	0.227089	0.301243	0.339224	0.080058	0.181736	0.029816
1.019783	0.100500	0.011833	-0.010667	3.257349	0.255739	0.213449	0.227202	0.202859	0.217041	0.203159	0.210114	0.194005	0.210371	0.208798	0.208017	0.201775	0.201063	0.194381	0.203956	0.203911	0.196456	0.227099	0.301247	0.339197	0.080057	0.181745	0.029807
1.034590	0.102292	0.011958	-0.010750	3.257020	0.255664	0.213377	0.227116	0.202782	0.216995	0.203136	0.210113	0.194000	0.210364	0.208797	0.208015	0.201772	0.201060	0.194380	0.203952	0.203906	0.196445	0.227095	0.301219	0.339130	0.080056	0.181786	0.029796
1.049154	0.104542	0.011875	-0.010333	3.256591	0.255447	0.213366	0.226985	0.202714	0.216939	0.203115	0.210103	0.193997	0.210356	0.208798	0.208013	0.201770	0.201057	0.194380	0.203949	0.203902	0.196434	0.227081	0.301186	0.339081	0.080054	0.181937	0.029782
1.063425	0.108333	0.011958	-0.010333	3.256188	0.255180	0.213305	0.226884	0.202666	0.216890	0.203103	0.210093	0.193995	0.210350	0.208799	0.208013	0.201769	0.201055	0.194381	0.203947	0.203900	0.196428	0.227064	0.301156	0.339087	0.080052	0.182293	0.029769
1.078358	0.113458	0.011833	-0.010333	3.255863	0.254946	0.213322	0.226851	0.202638	0.216851	0.203094	0.210085	0.193995	0.210348	0.208802	0.208015	0.201769	0.201055	0.194381	0.203946	0.203899	0.196425	0.227052	0.301133	0.339097	0.080050	0.183107	0.029754
1.092783	0.118542	0.011875	-0.010292	3.255582	0.254726	0.213359	0.226826	0.202593	0.216819	0.203084	0.210077	0.193996	0.210347	0.208804	0.208016	0.201771	0.201056	0.194382	0.203946	0.203896	0.196422	0.227036	0.301114	0.339100	0.080050	0.184471	0.029740
1.107198	0.123833	0.011833	-0.010500	3.255562	0.254622	0.213375	0.226900	0.202586	0.216836	0.203080	0.210079	0.194003	0.210353	0.208808	0.208017	0.201774	0.201060	0.194387	0.203949	0.203896	0.196423	0.227028	0.301115	0.339098	0.080051	0.186546	0.029728
1.121906	0.129208	0.011875	-0.010333	3.255755	0.254797	0.213440	0.226971	0.202647	0.216891	0.203096	0.210094	0.194010	0.210372	0.208813	0.208017	0.201778	0.201069	0.194392	0.203953	0.203898	0.196439	0.227028	0.301128	0.339107	0.080053	0.189449	0.029715
