[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.561494	0.098500	0.010917	0.019000	3.222251	0.256489	0.212225	0.227558	0.202575	0.217096	0.203169	0.210131	0.194051	0.210390	0.208803	0.208009	0.201776	0.201048	0.194392	0.203964	0.203872	0.196403	0.225673	0.304082	0.335705	0.079411	0.177043	0.035093
0.576317	0.098667	0.011167	0.018750	3.221446	0.256263	0.212006	0.227562	0.202506	0.217084	0.203154	0.210132	0.194052	0.210393	0.208804	0.208009	0.201778	0.201046	0.194388	0.203964	0.203869	0.196396	0.225666	0.304041	0.335680	0.079413	0.177039	0.035101
0.590585	0.098500	0.010917	0.018833	3.221055	0.255939	0.211823	0.227526	0.202457	0.217078	0.203148	0.210131	0.194051	0.210394	0.208806	0.208010	0.201779	0.201047	0.194388	0.203964	0.203868	0.196389	0.225662	0.304014	0.335657	0.079415	0.177036	0.035107
0.605306	0.098667	0.011167	0.019333	3.221035	0.255804	0.211799	0.227532	0.202520	0.217094	0.203145	0.210126	0.194044	0.210395	0.208806	0.208011	0.201779	0.201047	0.194388	0.203962	0.203870	0.196385	0.225667	0.304011	0.335656	0.079416	0.177033	0.035114
0.619965	0.098667	0.011167	0.019167	3.221571	0.255832	0.212106	0.227556	0.202667	0.217110	0.203146	0.210113	0.194036	0.210396	0.208804	0.208013	0.201779	0.201047	0.194388	0.203964	0.203874	0.196388	0.225683	0.304032	0.335674	0.079415	0.177031	0.035122
0.634131	0.098500	0.011167	0.019333	3.222368	0.255994	0.212679	0.227584	0.202836	0.217139	0.203157	0.210100	0.194036	0.210399	0.208803	0.208019	0.201781	0.201049	0.194389	0.203968	0.203877	0.196398	0.225687	0.304050	0.335661	0.079412	0.177030	0.035133
0.649117	0.098667	0.011333	0.018667	3.223350	0.256033	0.213270	0.227585	0.202968	0.217192	0.203171	0.210095	0.194041	0.210397	0.208802	0.208024	0.201782	0.201050	0.194388	0.203968	0.203876	0.196407	0.225681	0.304054	0.335637	0.079410	0.177027	0.035162
0.663546	0.098333	0.011083	0.018625	3.224311	0.256174	0.213694	0.227578	0.203030	0.217270	0.203176	0.210097	0.194042	0.210393	0.208803	0.208023	0.201783	0.201052	0.194385	0.203967	0.203876	0.196418	0.225677	0.304057	0.335625	0.079408	0.177021	0.035213
0.677912	0.098500	0.011083	0.018417	3.225556	0.256262	0.214027	0.227593	0.203025	0.217323	0.203176	0.210103	0.194037	0.210388	0.208805	0.208021	0.201786	0.201052	0.194382	0.203968	0.203876	0.196422	0.225676	0.304048	0.335623	0.079406	0.177012	0.035281
0.692698	0.098417	0.011000	0.018708	3.226036	0.256255	0.214172	0.227634	0.203011	0.217403	0.203180	0.210118	0.194032	0.210387	0.208804	0.208020	0.201788	0.201052	0.194380	0.203970	0.203876	0.196426	0.225673	0.304033	0.335628	0.079404	0.177002	0.035361
