[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
1.622056	0.073700	0.015117	0.019850	5.395174	0.358002	0.275116	0.269955	0.219349	0.225496	0.205875	0.212286	0.195798	0.212221	0.210043	0.209224	0.202999	0.202364	0.196075	0.205882	0.206252	0.201670	0.237867	0.340987	0.432128	0.082976	0.171642	0.013425	2.059972	13.860499	34.998001	97.747948
1.658612	0.073667	0.015267	0.019950	5.402167	0.364223	0.271269	0.268234	0.217857	0.225611	0.205894	0.212474	0.195815	0.212237	0.210084	0.209229	0.202994	0.202387	0.196092	0.205883	0.206314	0.201645	0.237882	0.340761	0.432289	0.083080	0.171644	0.014529	2.059972	13.859199	35.000000	97.743881
1.694894	0.073650	0.015467	0.020000	5.395846	0.361572	0.267722	0.267392	0.216460	0.225437	0.205874	0.212440	0.195811	0.212231	0.210051	0.209229	0.202991	0.202385	0.196082	0.205882	0.206317	0.201584	0.237830	0.340689	0.432239	0.083191	0.171645	0.015898	2.059973	13.859500	35.000000	97.766235
1.731334	0.073633	0.015500	0.020000	5.387867	0.361083	0.265235	0.266705	0.216001	0.225040	0.205916	0.212444	0.195828	0.212232	0.210047	0.209228	0.202991	0.202370	0.196082	0.205881	0.206293	0.201483	0.237709	0.340415	0.431948	0.083306	0.171644	0.017506	2.059974	13.865901	35.000000	97.788628
1.767694	0.073600	0.015600	0.020033	5.389322	0.364969	0.268199	0.266966	0.217034	0.224926	0.205961	0.212525	0.195909	0.212250	0.210074	0.209242	0.203011	0.202364	0.196103	0.205870	0.206278	0.201494	0.237553	0.340452	0.431295	0.083418	0.171640	0.019300	2.059975	13.860401	35.000000	97.762199
1.804186	0.073583	0.015650	0.020167	5.382054	0.363123	0.266691	0.265740	0.216678	0.225095	0.205773	0.212435	0.195920	0.212230	0.210064	0.209248	0.203005	0.202364	0.196093	0.205860	0.206246	0.201430	0.237442	0.340219	0.430675	0.083523	0.171633	0.021257	2.059975	13.859799	35.000000	97.756096
1.840549	0.073567	0.015633	0.020300	5.373895	0.357934	0.263975	0.264524	0.216136	0.225077	0.205724	0.212392	0.195857	0.212200	0.210026	0.209239	0.202993	0.202353	0.196078	0.205839	0.206226	0.201320	0.237322	0.339997	0.429952	0.083619	0.171628	0.023375	2.059975	13.866899	35.000000	97.727623
1.876924	0.073500	0.015667	0.020333	5.370831	0.354748	0.261344	0.263218	0.215097	0.225348	0.205728	0.212379	0.195832	0.212206	0.210024	0.209228	0.202993	0.202352	0.196076	0.205840	0.206204	0.201188	0.237246	0.339732	0.429583	0.083703	0.171621	0.025652	2.059977	13.868401	35.000000	97.719490
1.913338	0.073433	0.015700	0.020367	5.364096	0.349285	0.257054	0.260794	0.213844	0.225258	0.205642	0.212297	0.195796	0.212212	0.210009	0.209215	0.202995	0.202352	0.196056	0.205822	0.206164	0.201141	0.237088	0.339391	0.429223	0.083772	0.171611	0.028084	2.059977	13.863800	35.000000	97.745934
1.949737	0.073417	0.015683	0.020517	5.354293	0.346381	0.255263	0.258647	0.212813	0.224949	0.205626	0.212263	0.195788	0.212182	0.209976	0.209195	0.202987	0.202349	0.196052	0.205797	0.206139	0.201052	0.236933	0.338929	0.429049	0.083827	0.171599	0.030725	2.059977	13.866100	35.000000	97.754066
1.986189	0.073500	0.015683	0.020633	5.349350	0.339672	0.253080	0.257168	0.212805	0.224850	0.205547	0.212241	0.195770	0.212147	0.209955	0.209178	0.202971	0.202345	0.196035	0.205794	0.206094	0.200949	0.236800	0.338382	0.428821	0.083863	0.171589	0.033595	2.059979	13.868100	35.000000	97.745926
2.022472	0.073383	0.015583	0.020600	5.341607	0.337198	0.251917	0.254824	0.212901	0.224463	0.205459	0.212221	0.195753	0.212137	0.209953	0.209171	0.202961	0.202340	0.196027	0.205786	0.206065	0.200916	0.236771	0.338137	0.428602	0.083881	0.171579	0.036674	2.059978	13.865799	35.000000	97.743904
2.058977	0.073383	0.015517	0.020650	5.344343	0.337764	0.254052	0.254372	0.213231	0.224432	0.205448	0.212229	0.195776	0.212150	0.209984	0.209172	0.202960	0.202345	0.196030	0.205795	0.206068	0.200923	0.236822	0.338076	0.428270	0.083885	0.171572	0.040011	2.059975	13.866399	35.000000	97.766266
2.095271	0.073317	0.015533	0.020700	5.353023	0.339596	0.255557	0.255935	0.213829	0.224478	0.205461	0.212286	0.195797	0.212190	0.210011	0.209183	0.202960	0.202337	0.196030	0.205824	0.206079	0.200980	0.236831	0.338117	0.428122	0.083874	0.171566	0.043593	2.059975	13.879802	35.000000	97.749992
2.131802	0.073367	0.015450	0.020750	5.347271	0.337656	0.255886	0.257304	0.214039	0.224501	0.205425	0.212287	0.195797	0.212191	0.209995	0.209171	0.202967	0.202333	0.196033	0.205826	0.206117	0.201088	0.236952	0.338625	0.428532	0.083849	0.171560	0.047430	2.059975	13.872999	35.000000	97.729668
2.171714	0.073300	0.015417	0.020867	5.344558	0.337217	0.258087	0.258014	0.214599	0.224510	0.205413	0.212277	0.195804	0.212171	0.209980	0.209162	0.202975	0.202325	0.196023	0.205824	0.206127	0.201151	0.236962	0.338772	0.428539	0.083811	0.171551	0.051772	2.059972	13.870399	34.997002	97.701210
2.222749	0.073283	0.015333	0.020933	5.353595	0.347252	0.256581	0.262737	0.214015	0.224503	0.205427	0.212200	0.195798	0.212165	0.209995	0.209161	0.202968	0.202310	0.196030	0.205817	0.206150	0.201277	0.237318	0.339043	0.429561	0.083748	0.171538	0.057371	2.059973	13.879999	35.000000	97.709343
2.259059	0.073300	0.015250	0.020983	5.341348	0.341374	0.253926	0.261761	0.213150	0.224401	0.205391	0.212179	0.195768	0.212170	0.209993	0.209158	0.202960	0.202305	0.196016	0.205785	0.206103	0.201126	0.237145	0.338354	0.429162	0.083695	0.171526	0.061173	2.059974	13.872098	35.000000	97.709343
2.295577	0.073267	0.015150	0.021033	5.327773	0.333282	0.250759	0.259022	0.211660	0.223922	0.205373	0.212151	0.195720	0.212175	0.209972	0.209159	0.202938	0.202302	0.196007	0.205775	0.206059	0.200967	0.236953	0.337794	0.428355	0.083632	0.171516	0.064669	2.059974	13.873302	35.000000	97.743896
2.331859	0.073267	0.015167	0.021050	5.319876	0.329023	0.248750	0.257070	0.210694	0.223575	0.205353	0.212147	0.195719	0.212175	0.209969	0.209169	0.202932	0.202311	0.196007	0.205777	0.206043	0.200858	0.236800	0.337495	0.427682	0.083566	0.171506	0.067590	2.059971	13.881599	35.000000	97.747955
2.368428	0.073233	0.015000	0.021167	5.316679	0.328766	0.245964	0.257766	0.210367	0.223541	0.205307	0.212154	0.195733	0.212182	0.209956	0.209165	0.202922	0.202333	0.196018	0.205798	0.206050	0.200822	0.236763	0.337381	0.427569	0.083500	0.171500	0.069834	2.059969	13.880702	35.000000	97.733734
2.404712	0.073250	0.014983	0.021150	5.311365	0.325223	0.243547	0.255108	0.209699	0.223126	0.205257	0.212131	0.195729	0.212161	0.209948	0.209161	0.202918	0.202321	0.196002	0.205770	0.205992	0.200768	0.236623	0.337086	0.427068	0.083435	0.171496	0.071177	2.059966	13.878799	35.000000	97.731697
2.441162	0.073233	0.014950	0.021250	5.310977	0.321797	0.243547	0.253662	0.209600	0.222865	0.205218	0.212129	0.195719	0.212126	0.209933	0.209152	0.202916	0.202307	0.195991	0.205761	0.205975	0.200737	0.236503	0.336918	0.426767	0.083371	0.171494	0.071586	2.059967	13.877600	35.000000	97.727631
2.477522	0.073183	0.014983	0.021283	5.303288	0.319418	0.246882	0.253242	0.209861	0.222838	0.205197	0.212138	0.195702	0.212111	0.209917	0.209144	0.202910	0.202292	0.195981	0.205751	0.205970	0.200748	0.236495	0.337042	0.426905	0.083310	0.171490	0.071045	2.059966	13.881499	35.000000	97.745926
2.513949	0.073200	0.014833	0.021333	5.301373	0.319459	0.247040	0.253084	0.210735	0.222934	0.205202	0.212146	0.195690	0.212089	0.209914	0.209148	0.202906	0.202292	0.195974	0.205750	0.205958	0.200737	0.236554	0.337234	0.427135	0.083256	0.171486	0.069575	2.059966	13.874298	35.000000	97.737793
2.550350	0.073267	0.014900	0.021367	5.294937	0.316871	0.246023	0.250043	0.210341	0.222545	0.205166	0.212102	0.195662	0.212055	0.209889	0.209135	0.202900	0.202286	0.195956	0.205735	0.205917	0.200679	0.236514	0.337220	0.427036	0.083201	0.171482	0.067291	2.059968	13.846300	35.000000	97.727646
2.586710	0.073233	0.014783	0.021467	5.294937	0.314259	0.244614	0.248690	0.210341	0.222434	0.205168	0.212085	0.195659	0.212039	0.209882	0.209136	0.202906	0.202277	0.195953	0.205727	0.205904	0.200651	0.236474	0.337011	0.427110	0.083151	0.171478	0.064241	2.059967	13.714799	35.000000	97.745934
