[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.851340	0.101583	0.014250	0.053167	3.293836	0.301027	0.247036	0.249232	0.214182	0.222688	0.204798	0.211479	0.194692	0.211088	0.209189	0.208412	0.202046	0.201354	0.194670	0.204369	0.204476	0.197630	0.227934	0.309851	0.343171	0.082388	0.185629	0.032139
0.865608	0.101583	0.014333	0.051667	3.290155	0.298739	0.246191	0.248469	0.213751	0.222543	0.204785	0.211395	0.194663	0.211058	0.209177	0.208393	0.202039	0.201351	0.194657	0.204350	0.204450	0.197577	0.227868	0.309703	0.343016	0.082389	0.185618	0.032198
0.880492	0.101500	0.014333	0.050250	3.286449	0.296766	0.245021	0.247724	0.213371	0.222397	0.204770	0.211293	0.194623	0.211016	0.209163	0.208375	0.202032	0.201340	0.194647	0.204331	0.204427	0.197532	0.227807	0.309580	0.342877	0.082388	0.185613	0.032260
0.894988	0.101458	0.014250	0.050000	3.283815	0.295075	0.243297	0.246972	0.212990	0.222255	0.204740	0.211195	0.194581	0.210969	0.209143	0.208368	0.202024	0.201334	0.194641	0.204310	0.204410	0.197513	0.227731	0.309463	0.342657	0.082384	0.185611	0.032318
0.909319	0.101583	0.014333	0.050208	3.281297	0.293749	0.241292	0.246215	0.212588	0.222160	0.204700	0.211106	0.194556	0.210925	0.209123	0.208363	0.202017	0.201327	0.194637	0.204286	0.204399	0.197502	0.227669	0.309350	0.342395	0.082378	0.185611	0.032378
0.924108	0.101625	0.014208	0.050333	3.277837	0.292696	0.239544	0.245570	0.212214	0.222070	0.204655	0.211028	0.194538	0.210889	0.209110	0.208352	0.202010	0.201315	0.194630	0.204266	0.204383	0.197478	0.227626	0.309237	0.342142	0.082372	0.185609	0.032436
0.938540	0.101625	0.014375	0.049958	3.274721	0.291267	0.237451	0.244836	0.211875	0.221883	0.204595	0.210953	0.194513	0.210856	0.209098	0.208331	0.201999	0.201296	0.194619	0.204248	0.204358	0.197421	0.227567	0.309097	0.341880	0.082367	0.185606	0.032494
0.953160	0.101667	0.014333	0.049333	3.271727	0.289447	0.235478	0.243924	0.211502	0.221659	0.204534	0.210893	0.194487	0.210824	0.209090	0.208304	0.201987	0.201276	0.194608	0.204233	0.204327	0.197351	0.227483	0.308933	0.341611	0.082366	0.185602	0.032561
0.967690	0.101542	0.014417	0.048958	3.269348	0.287995	0.234203	0.243414	0.211165	0.221566	0.204501	0.210869	0.194477	0.210811	0.209086	0.208285	0.201983	0.201267	0.194602	0.204225	0.204311	0.197310	0.227446	0.308840	0.341473	0.082366	0.185601	0.032638
0.982188	0.101625	0.014208	0.048542	3.266969	0.286724	0.233455	0.243049	0.210858	0.221583	0.204463	0.210868	0.194469	0.210804	0.209084	0.208277	0.201980	0.201262	0.194597	0.204220	0.204304	0.197275	0.227446	0.308793	0.341378	0.082365	0.185604	0.032722
0.997038	0.101833	0.014250	0.047542	3.263419	0.285206	0.232328	0.242577	0.210578	0.221613	0.204437	0.210889	0.194458	0.210814	0.209084	0.208272	0.201976	0.201259	0.194593	0.204217	0.204291	0.197227	0.227460	0.308782	0.341264	0.082364	0.185613	0.032806
1.011275	0.102083	0.014292	0.046917	3.260396	0.284084	0.231491	0.242160	0.210411	0.221570	0.204400	0.210909	0.194444	0.210833	0.209084	0.208260	0.201969	0.201258	0.194585	0.204214	0.204277	0.197188	0.227467	0.308780	0.341160	0.082362	0.185630	0.032877
1.025998	0.102500	0.014292	0.046292	3.257370	0.282823	0.230957	0.241838	0.210345	0.221473	0.204368	0.210939	0.194434	0.210866	0.209089	0.208248	0.201969	0.201268	0.194578	0.204219	0.204268	0.197157	0.227476	0.308799	0.341040	0.082360	0.185664	0.032945
1.040590	0.103542	0.014333	0.044750	3.255477	0.281760	0.230972	0.241740	0.210372	0.221422	0.204334	0.210970	0.194425	0.210863	0.209097	0.208241	0.201966	0.201264	0.194573	0.204219	0.204261	0.197140	0.227471	0.308741	0.340912	0.082359	0.185749	0.033003
1.054823	0.104958	0.014333	0.044083	3.255371	0.281078	0.231587	0.241774	0.210515	0.221358	0.204309	0.211004	0.194413	0.210849	0.209101	0.208234	0.201966	0.201261	0.194573	0.204222	0.204251	0.197122	0.227444	0.308639	0.340806	0.082358	0.185923	0.033049
1.069837	0.107625	0.014333	0.045167	3.256817	0.280855	0.232247	0.241884	0.210446	0.221273	0.204273	0.211042	0.194395	0.210833	0.209096	0.208227	0.201965	0.201258	0.194574	0.204221	0.204244	0.197095	0.227413	0.308541	0.340724	0.082357	0.186293	0.033091
1.084235	0.110375	0.014292	0.045333	3.257718	0.281129	0.232310	0.242119	0.210423	0.221331	0.204259	0.211063	0.194385	0.210821	0.209092	0.208224	0.201961	0.201254	0.194576	0.204221	0.204241	0.197092	0.227391	0.308483	0.340669	0.082355	0.186907	0.033122
1.098633	0.113417	0.014250	0.044667	3.257227	0.281878	0.232181	0.242284	0.210678	0.221360	0.204284	0.211042	0.194392	0.210806	0.209093	0.208220	0.201952	0.201252	0.194576	0.204217	0.204236	0.197116	0.227379	0.308471	0.340639	0.082354	0.187856	0.033147
1.113421	0.116167	0.014167	0.044583	3.256578	0.282349	0.231977	0.242013	0.211015	0.221292	0.204342	0.211009	0.194406	0.210796	0.209097	0.208216	0.201944	0.201253	0.194574	0.204218	0.204230	0.197133	0.227378	0.308521	0.340692	0.082352	0.189226	0.033168
1.127754	0.119333	0.014292	0.044583	3.256730	0.282867	0.231844	0.241925	0.211324	0.221301	0.204405	0.210975	0.194413	0.210788	0.209099	0.208215	0.201944	0.201257	0.194572	0.204221	0.204233	0.197150	0.227384	0.308596	0.340782	0.082349	0.190941	0.033184
1.142508	0.122792	0.014250	0.044375	3.257225	0.283786	0.231982	0.242151	0.211652	0.221463	0.204485	0.210948	0.194408	0.210796	0.209095	0.208222	0.201946	0.201259	0.194573	0.204227	0.204243	0.197178	0.227404	0.308711	0.340943	0.082347	0.193023	0.033196
1.156940	0.125917	0.014333	0.044333	3.258595	0.285546	0.232951	0.242566	0.212186	0.221542	0.204577	0.210946	0.194399	0.210809	0.209093	0.208240	0.201949	0.201265	0.194576	0.204239	0.204256	0.197221	0.227435	0.308850	0.341121	0.082348	0.195321	0.033206
1.171498	0.127625	0.014500	0.044583	3.262166	0.287693	0.234614	0.243250	0.212741	0.221794	0.204677	0.210997	0.194405	0.210834	0.209105	0.208261	0.201962	0.201279	0.194585	0.204264	0.204280	0.197279	0.227482	0.309029	0.341300	0.082351	0.197726	0.033212
1.186256	0.128167	0.014375	0.044375	3.265389	0.289649	0.236711	0.244053	0.213403	0.222352	0.204763	0.211109	0.194439	0.210895	0.209132	0.208293	0.201988	0.201305	0.194603	0.204299	0.204302	0.197344	0.227557	0.309186	0.341496	0.082357	0.200384	0.033215
