[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.184467	0.100667	0.014000	0.017500	4.326410	0.262616	0.213050	0.227720	0.203631	0.218831	0.204359	0.211656	0.195293	0.211709	0.209775	0.209044	0.202861	0.202261	0.195823	0.205476	0.205347	0.199497	0.231162	0.327097	0.370401	0.082084	0.182976	0.021611	2.059628	8.517000	35.000000	97.784554
0.187975	0.100667	0.014000	0.017833	4.326466	0.262614	0.213050	0.227720	0.203631	0.218831	0.204359	0.211655	0.195293	0.211709	0.209776	0.209044	0.202861	0.202261	0.195823	0.205476	0.205347	0.199497	0.231162	0.327097	0.370401	0.082083	0.182976	0.021617	2.059628	8.522000	35.000000	97.743904
0.191492	0.101000	0.013667	0.018000	4.326497	0.262613	0.213051	0.227721	0.203631	0.218831	0.204359	0.211655	0.195293	0.211709	0.209776	0.209044	0.202861	0.202261	0.195823	0.205476	0.205347	0.199497	0.231162	0.327098	0.370401	0.082083	0.182976	0.021623	2.059628	8.493000	35.000000	97.723579
0.195775	0.100667	0.014000	0.018333	4.326594	0.262610	0.213051	0.227722	0.203631	0.218831	0.204359	0.211655	0.195293	0.211709	0.209776	0.209045	0.202861	0.202261	0.195823	0.205476	0.205347	0.199498	0.231162	0.327098	0.370402	0.082082	0.182976	0.021636	2.059628	8.452000	35.000000	97.723579
0.199292	0.100667	0.013333	0.018333	4.326625	0.262609	0.213053	0.227722	0.203631	0.218830	0.204359	0.211654	0.195293	0.211709	0.209776	0.209045	0.202861	0.202261	0.195823	0.205476	0.205347	0.199498	0.231162	0.327098	0.370402	0.082082	0.182977	0.021642	2.059628	8.452000	35.000000	97.723579
0.202800	0.101333	0.013333	0.018667	4.326686	0.262607	0.213053	0.227722	0.203631	0.218830	0.204359	0.211654	0.195293	0.211709	0.209777	0.209044	0.202860	0.202261	0.195823	0.205476	0.205347	0.199498	0.231162	0.327100	0.370402	0.082083	0.182977	0.021650	2.059629	8.448000	35.000000	97.723579
0.206433	0.101000	0.014000	0.018667	4.326715	0.262605	0.213053	0.227722	0.203631	0.218830	0.204358	0.211654	0.195293	0.211709	0.209777	0.209044	0.202860	0.202261	0.195823	0.205475	0.205347	0.199498	0.231161	0.327100	0.370402	0.082083	0.182977	0.021666	2.059629	8.438999	35.000000	97.723579
0.209950	0.101000	0.013333	0.018667	4.326773	0.262604	0.213054	0.227722	0.203631	0.218830	0.204358	0.211654	0.195293	0.211709	0.209777	0.209044	0.202860	0.202261	0.195823	0.205475	0.205347	0.199498	0.231161	0.327100	0.370402	0.082083	0.182977	0.021677	2.059629	8.448999	35.000000	97.723579
0.213325	0.101333	0.014000	0.018500	4.326804	0.262601	0.213054	0.227721	0.203631	0.218829	0.204358	0.211654	0.195294	0.211709	0.209777	0.209044	0.202860	0.202261	0.195823	0.205475	0.205348	0.199498	0.231161	0.327101	0.370402	0.082084	0.182977	0.021700	2.059629	8.445000	35.000000	97.804878
0.217617	0.100500	0.014000	0.018500	4.326837	0.262599	0.213054	0.227720	0.203630	0.218828	0.204357	0.211653	0.195294	0.211709	0.209777	0.209044	0.202860	0.202260	0.195823	0.205475	0.205348	0.199498	0.231160	0.327101	0.370402	0.082085	0.182977	0.021731	2.059629	8.410999	35.000000	97.804878
0.221258	0.100833	0.013667	0.018333	4.326897	0.262596	0.213054	0.227719	0.203630	0.218828	0.204356	0.211653	0.195294	0.211709	0.209777	0.209044	0.202859	0.202259	0.195823	0.205474	0.205347	0.199498	0.231160	0.327103	0.370402	0.082086	0.182977	0.021756	2.059629	8.384000	35.000000	97.784554
0.224767	0.101000	0.013667	0.018167	4.326925	0.262595	0.213055	0.227718	0.203630	0.218828	0.204356	0.211653	0.195294	0.211709	0.209777	0.209044	0.202859	0.202259	0.195823	0.205474	0.205347	0.199498	0.231159	0.327103	0.370402	0.082087	0.182977	0.021775	2.059629	8.372999	35.000000	97.784554
0.228283	0.100667	0.013333	0.018000	4.326983	0.262593	0.213056	0.227718	0.203630	0.218827	0.204356	0.211652	0.195294	0.211710	0.209777	0.209044	0.202859	0.202259	0.195823	0.205474	0.205346	0.199498	0.231159	0.327104	0.370402	0.082088	0.182976	0.021806	2.059629	8.365999	35.000000	97.825203
0.231783	0.100667	0.013333	0.018000	4.327013	0.262592	0.213056	0.227717	0.203630	0.218827	0.204356	0.211652	0.195295	0.211710	0.209777	0.209043	0.202859	0.202259	0.195823	0.205474	0.205346	0.199499	0.231159	0.327105	0.370402	0.082089	0.182976	0.021839	2.059629	8.391000	35.000000	97.804878
0.235167	0.101000	0.013333	0.018167	4.327042	0.262591	0.213056	0.227717	0.203629	0.218826	0.204356	0.211651	0.195295	0.211710	0.209777	0.209043	0.202858	0.202259	0.195823	0.205474	0.205346	0.199499	0.231159	0.327106	0.370402	0.082091	0.182975	0.021873	2.059629	8.398000	35.000000	97.764229
0.238808	0.101000	0.013667	0.018500	4.327104	0.262589	0.213057	0.227717	0.203629	0.218826	0.204356	0.211651	0.195295	0.211710	0.209777	0.209043	0.202858	0.202259	0.195823	0.205474	0.205346	0.199499	0.231159	0.327107	0.370402	0.082092	0.182975	0.021909	2.059629	8.354000	35.000000	97.703255
0.243092	0.100667	0.014333	0.018333	4.327188	0.262589	0.213058	0.227717	0.203629	0.218826	0.204356	0.211651	0.195295	0.211710	0.209777	0.209042	0.202858	0.202259	0.195824	0.205475	0.205346	0.199500	0.231159	0.327107	0.370402	0.082093	0.182975	0.021946	2.059629	8.306000	35.000000	97.804878
0.246608	0.100667	0.013333	0.018667	4.327213	0.262588	0.213059	0.227717	0.203629	0.218826	0.204356	0.211651	0.195295	0.211710	0.209777	0.209042	0.202858	0.202259	0.195825	0.205476	0.205346	0.199500	0.231160	0.327109	0.370402	0.082094	0.182974	0.021998	2.059629	8.322000	35.000000	97.764229
0.250117	0.101000	0.013667	0.018167	4.327265	0.262587	0.213060	0.227717	0.203629	0.218825	0.204357	0.211651	0.195295	0.211710	0.209778	0.209042	0.202858	0.202259	0.195825	0.205476	0.205346	0.199500	0.231160	0.327109	0.370402	0.082095	0.182973	0.022023	2.059629	8.325001	35.000000	97.764229
0.253633	0.101333	0.013667	0.018167	4.327290	0.262586	0.213060	0.227718	0.203629	0.218825	0.204358	0.211651	0.195295	0.211710	0.209778	0.209042	0.202858	0.202259	0.195825	0.205476	0.205345	0.199500	0.231160	0.327110	0.370401	0.082095	0.182972	0.022074	2.059629	8.320000	35.000000	97.804878
0.257267	0.100667	0.013667	0.018167	4.327313	0.262585	0.213061	0.227718	0.203630	0.218825	0.204358	0.211651	0.195295	0.211710	0.209777	0.209042	0.202859	0.202259	0.195825	0.205477	0.205345	0.199500	0.231160	0.327110	0.370401	0.082096	0.182971	0.022099	2.059629	8.282000	35.000000	97.804878
