[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.758035	0.098583	0.011250	0.019000	3.221713	0.255118	0.212410	0.227564	0.202803	0.217143	0.203121	0.210106	0.193999	0.210381	0.208770	0.208007	0.201753	0.201021	0.194372	0.203917	0.203871	0.196363	0.225583	0.303624	0.336292	0.079439	0.177055	0.038198
0.772500	0.098583	0.011208	0.018917	3.221056	0.254937	0.212314	0.227603	0.202785	0.217136	0.203137	0.210113	0.194001	0.210380	0.208771	0.208010	0.201752	0.201020	0.194375	0.203915	0.203874	0.196367	0.225584	0.303602	0.336297	0.079437	0.177058	0.038183
0.786927	0.098708	0.011208	0.018750	3.220415	0.254686	0.212196	0.227650	0.202749	0.217111	0.203142	0.210111	0.194002	0.210380	0.208772	0.208011	0.201753	0.201020	0.194377	0.203914	0.203877	0.196366	0.225587	0.303584	0.336298	0.079436	0.177060	0.038170
0.801623	0.098500	0.011083	0.018292	3.220609	0.254447	0.212083	0.227808	0.202723	0.217106	0.203160	0.210105	0.194000	0.210379	0.208773	0.208010	0.201752	0.201018	0.194376	0.203913	0.203876	0.196361	0.225584	0.303565	0.336281	0.079435	0.177063	0.038158
0.816146	0.098667	0.011167	0.018167	3.221002	0.254261	0.212037	0.227912	0.202750	0.217148	0.203183	0.210102	0.193996	0.210380	0.208773	0.208009	0.201753	0.201019	0.194373	0.203913	0.203875	0.196358	0.225577	0.303553	0.336269	0.079435	0.177065	0.038146
0.830708	0.098667	0.011167	0.018500	3.221347	0.254213	0.211962	0.228052	0.202756	0.217176	0.203199	0.210105	0.193995	0.210382	0.208775	0.208010	0.201756	0.201021	0.194370	0.203914	0.203876	0.196360	0.225571	0.303549	0.336261	0.079436	0.177064	0.038135
0.845267	0.098708	0.011083	0.018917	3.221667	0.254619	0.212162	0.228234	0.202775	0.217215	0.203212	0.210114	0.194001	0.210388	0.208779	0.208016	0.201758	0.201024	0.194370	0.203917	0.203878	0.196375	0.225573	0.303573	0.336288	0.079437	0.177063	0.038125
0.859698	0.098750	0.011083	0.019583	3.221918	0.255625	0.212294	0.228492	0.202784	0.217225	0.203219	0.210125	0.194010	0.210391	0.208783	0.208021	0.201761	0.201029	0.194371	0.203923	0.203880	0.196390	0.225581	0.303591	0.336336	0.079438	0.177063	0.038115
0.874548	0.098667	0.011000	0.019625	3.221952	0.256079	0.212306	0.228635	0.202789	0.217191	0.203214	0.210120	0.194017	0.210390	0.208784	0.208022	0.201762	0.201029	0.194373	0.203926	0.203881	0.196397	0.225588	0.303586	0.336358	0.079439	0.177063	0.038107
0.888817	0.098500	0.011083	0.019667	3.221615	0.255966	0.212177	0.228548	0.202783	0.217147	0.203206	0.210111	0.194019	0.210388	0.208783	0.208019	0.201761	0.201028	0.194375	0.203926	0.203879	0.196403	0.225588	0.303573	0.336349	0.079439	0.177060	0.038110
