[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.176275	0.099833	0.015833	0.396833	4.345465	0.263910	0.213819	0.229296	0.203999	0.219219	0.204431	0.211719	0.195345	0.211765	0.209783	0.209063	0.202878	0.202292	0.195906	0.205545	0.205424	0.199718	0.231894	0.323579	0.373726	0.084171	0.182543	0.010224	2.059686	1.269000	34.990002	97.723579
0.180567	0.099833	0.015667	0.400500	4.345489	0.263904	0.213821	0.229297	0.204001	0.219220	0.204433	0.211719	0.195345	0.211766	0.209782	0.209063	0.202878	0.202293	0.195906	0.205546	0.205424	0.199720	0.231893	0.323580	0.373729	0.084179	0.182485	0.010716	2.059686	1.238000	34.995003	97.764229
0.184075	0.099833	0.015833	0.402500	4.345508	0.263902	0.213822	0.229298	0.204003	0.219221	0.204433	0.211719	0.195345	0.211766	0.209782	0.209063	0.202878	0.202293	0.195906	0.205547	0.205423	0.199720	0.231892	0.323581	0.373734	0.084185	0.182443	0.011073	2.059687	1.214000	34.990002	97.743904
0.187467	0.100000	0.016000	0.404167	4.345551	0.263896	0.213821	0.229297	0.204005	0.219219	0.204434	0.211719	0.195345	0.211767	0.209782	0.209062	0.202878	0.202294	0.195906	0.205547	0.205423	0.199720	0.231892	0.323579	0.373737	0.084189	0.182415	0.011300	2.059687	1.199000	34.990002	97.743904
0.190967	0.099833	0.016000	0.405500	4.345571	0.263892	0.213820	0.229297	0.204005	0.219219	0.204434	0.211719	0.195345	0.211767	0.209782	0.209062	0.202878	0.202294	0.195907	0.205547	0.205423	0.199720	0.231890	0.323579	0.373739	0.084196	0.182375	0.011626	2.059687	1.188000	34.990002	97.743904
0.194733	0.099833	0.016000	0.407500	4.345609	0.263889	0.213820	0.229297	0.204005	0.219218	0.204434	0.211719	0.195345	0.211767	0.209780	0.209062	0.202878	0.202295	0.195907	0.205547	0.205421	0.199720	0.231889	0.323577	0.373743	0.084202	0.182336	0.011941	2.059688	1.164000	34.990002	97.723579
0.197992	0.099833	0.015833	0.409000	4.345627	0.263883	0.213819	0.229296	0.204004	0.219216	0.204434	0.211718	0.195344	0.211767	0.209780	0.209061	0.202878	0.202295	0.195907	0.205547	0.205421	0.199720	0.231888	0.323576	0.373746	0.084206	0.182298	0.012237	2.059688	1.138000	34.990002	97.723579
0.201625	0.099833	0.015667	0.410500	4.345644	0.263879	0.213819	0.229295	0.204003	0.219216	0.204434	0.211718	0.195343	0.211767	0.209780	0.209060	0.202878	0.202295	0.195906	0.205547	0.205420	0.199719	0.231887	0.323575	0.373750	0.084213	0.182261	0.012524	2.059689	1.126000	34.990002	97.743904
0.206050	0.099667	0.015667	0.413667	4.345688	0.263873	0.213817	0.229295	0.204003	0.219214	0.204433	0.211717	0.195343	0.211767	0.209779	0.209060	0.202878	0.202295	0.195906	0.205546	0.205420	0.199719	0.231887	0.323573	0.373753	0.084221	0.182225	0.012795	2.059689	1.134000	34.990002	97.723579
0.209558	0.100000	0.015833	0.416667	4.345709	0.263869	0.213816	0.229294	0.204002	0.219213	0.204433	0.211717	0.195342	0.211767	0.209779	0.209059	0.202877	0.202294	0.195906	0.205546	0.205419	0.199718	0.231885	0.323572	0.373757	0.084229	0.182177	0.013134	2.059690	1.105000	35.000000	97.723579
